pressure,dewpoint,humidity,cloud,rainfall,sunshine,winddirection,windspeed
1019.3,12.9,79,81,1,1.5,60.0,33.2
1023.6,9.8,68,22,0,11.1,70.0,13.4
1021.4,9.6,59,74,1,2.4,50.0,20.5
1017.1,11.1,76,49,0,3.9,50.0,28.4
1016.9,21.4,81,88,1,1.1,80.0,46.3
1005.3,24.2,72,29,0,10.6,220.0,6.1
1016.1,22.0,80,82,1,6.5,70.0,28.3
1024.9,0.3,39,13,0,10.2,20.0,44.7
1021.2,17.4,75,40,0,8.8,60.0,16.0
1008.5,24.9,74,32,0,11.8,260.0,21.9
1018.0,12.4,83,89,1,1.1,20.0,26.7
1010.6,24.5,75,38,0,10.3,20.0,5.5
1012.5,21.4,88,84,1,2.2,120.0,8.0
1023.2,9.6,67,55,1,5.9,20.0,23.9
1013.2,22.3,91,84,0,1.8,40.0,10.0
1016.5,16.4,90,90,1,2.1,40.0,23.3
1020.1,12.5,78,84,0,1.0,60.0,38.0
1016.8,21.7,77,77,1,3.0,80.0,37.5
1008.6,25.5,74,28,0,11.0,130.0,8.3
1012.2,24.3,79,67,0,3.8,180.0,8.1
1005.9,25.4,93,85,1,0.0,230.0,20.0
1009.3,25.3,76,44,1,10.1,200.0,9.5
1012.2,22.1,71,46,0,9.3,60.0,41.3
1008.2,25.9,82,85,1,7.2,220.0,12.8
1011.5,23.2,76,66,1,6.7,90.0,22.6
1011.2,24.6,78,69,0,10.7,20.0,11.8
1008.8,24.7,91,80,1,2.2,20.0,11.2
1024.1,10.0,65,58,0,5.6,60.0,26.9
1009.5,25.7,79,72,0,7.0,220.0,25.2
1010.3,26.0,80,83,1,6.3,190.0,24.4
1006.8,26.2,86,83,1,0.2,230.0,14.3
1021.3,16.2,82,87,1,1.6,50.0,22.5
1025.4,6.0,63,89,0,0.7,20.0,23.5
1013.0,21.6,73,50,0,8.3,80.0,9.9
1020.6,13.3,74,87,0,0.6,30.0,21.6
1016.0,23.2,84,20,0,8.2,80.0,7.9
1015.9,19.9,95,81,1,0.0,40.0,13.7
1009.3,25.6,75,51,0,10.0,200.0,12.6
1008.1,26.4,79,69,1,8.5,240.0,25.1
1011.0,23.6,89,82,1,2.0,50.0,11.1
1008.3,26.4,84,57,1,7.4,60.0,17.5
1006.6,24.7,74,49,1,6.3,270.0,16.1
1019.5,18.8,74,82,1,2.4,70.0,32.9
1016.6,17.3,82,84,1,0.4,50.0,20.3
1012.5,19.3,70,43,0,9.7,60.0,8.9
1015.6,22.1,77,48,0,9.5,60.0,10.3
1026.6,12.8,75,85,1,1.0,20.0,25.9
1011.4,23.9,86,84,1,3.1,220.0,11.8
1017.2,21.6,82,73,1,1.1,80.0,30.6
1025.3,13.3,78,86,1,1.2,20.0,20.9
1006.7,20.6,61,30,0,11.1,10.0,16.4
1020.8,7.2,54,29,0,10.2,40.0,17.2
1018.7,19.1,70,68,1,10.5,70.0,32.4
1008.1,25.0,72,38,0,11.2,180.0,9.0
1015.0,13.6,90,100,1,0.0,60.0,33.2
1015.2,20.7,76,19,0,9.1,90.0,14.1
1028.9,10.5,76,87,0,0.1,20.0,20.4
1011.1,24.8,78,38,0,11.0,220.0,11.7
1022.5,15.0,70,49,0,8.6,70.0,34.0
1024.4,6.8,79,94,1,0.0,10.0,27.3
1005.9,25.6,77,53,1,10.5,270.0,11.3
1018.1,20.4,77,83,1,3.0,80.0,29.8
1007.0,26.4,81,78,1,6.2,230.0,22.4
1012.7,23.2,75,47,0,7.9,60.0,24.5
1009.7,24.8,74,29,0,11.8,240.0,12.8
1013.0,21.4,68,49,0,9.2,50.0,39.9
1013.1,25.7,82,60,0,8.7,80.0,9.8
1026.4,3.1,48,11,0,9.5,40.0,25.2
1013.8,20.4,73,20,0,10.5,30.0,9.9
1008.5,26.2,78,69,0,9.2,230.0,23.7
1010.5,26.0,83,81,1,2.3,200.0,19.8
1007.9,25.6,87,84,1,0.1,230.0,22.9
1012.0,23.0,74,44,1,10.1,70.0,26.2
1005.9,24.3,88,77,1,1.9,230.0,25.9
998.5,24.8,71,80,1,10.0,220.0,26.4
1007.8,26.2,80,73,0,7.2,230.0,31.7
1016.4,15.5,76,72,0,6.3,60.0,20.7
1005.5,23.2,65,22,0,9.1,10.0,10.7
1008.1,25.6,79,43,0,9.7,240.0,24.9
1026.1,1.7,36,2,0,10.2,20.0,20.5
1007.4,25.0,87,88,1,0.9,40.0,5.7
1012.0,19.9,76,79,0,4.8,70.0,30.3
1017.7,16.8,70,44,0,6.9,20.0,28.6
1015.4,14.6,97,97,1,0.0,50.0,37.5
1012.5,19.9,95,88,1,0.6,50.0,15.1
1013.3,21.6,91,83,0,6.9,70.0,20.0
1023.9,4.3,52,0,0,10.2,40.0,16.7
1010.5,25.1,84,85,0,2.0,180.0,15.4
1015.6,19.6,90,81,1,1.5,40.0,14.5
1018.2,15.7,98,100,1,0.0,60.0,28.8
1009.8,25.6,82,70,1,6.4,220.0,22.6
1024.7,11.7,79,79,1,5.0,20.0,9.1
1010.5,23.1,76,54,0,10.6,300.0,13.0
1007.9,26.1,84,77,1,3.6,210.0,19.0
1020.9,17.8,73,61,0,4.3,20.0,29.6
1012.0,20.9,70,48,0,7.8,120.0,9.2
1020.8,12.1,77,34,0,9.1,30.0,24.4
1026.4,13.0,74,66,0,5.7,20.0,23.3
1014.8,18.1,81,82,1,3.9,20.0,15.3
1008.1,25.0,79,75,0,6.7,200.0,12.0
1022.2,14.1,78,90,1,0.0,30.0,28.5
1009.9,22.5,84,85,1,3.5,70.0,26.4
1027.1,3.4,70,95,1,0.0,20.0,55.5
1027.1,2.5,59,85,1,0.4,20.0,21.3
1008.3,24.1,74,29,0,5.7,10.0,4.4
1009.1,26.0,82,86,1,2.7,200.0,21.9
